ano,id_municipio,id_municipio_nome,atu_ef,atu_em,had_ef,had_em,tdi_ef,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_em
2014,2611606,Recife,29.4,29.9,5.2,5.1,7.5,34.9,96.1,78.9,3.9,19.2,0.0,1.9
2014,2611606,Recife,21.4,,4.7,,24.2,,81.7,,14.2,,4.1,
2021,2611606,Recife,34.9,37.0,4.6,7.6,25.1,22.1,96.9,95.4,2.5,3.9,0.6,0.7
2021,2611606,Recife,29.3,19.5,4.7,4.8,9.5,29.7,98.3,82.0,1.7,11.8,0.0,6.2
2021,2611606,Recife,17.5,29.7,4.5,5.5,6.9,7.3,98.8,98.6,1.0,1.0,0.2,0.4
2021,2611606,Recife,21.7,34.0,4.6,7.0,15.1,19.1,98.7,95.6,1.1,3.5,0.2,0.9
2021,2611606,Recife,17.5,29.7,4.5,5.5,6.9,7.3,98.8,98.6,1.0,1.0,0.2,0.4
2021,2611606,Recife,21.7,34.0,4.6,7.0,15.1,19.1,98.7,95.6,1.1,3.5,0.2,0.9
2021,2611606,Recife,22.2,,4.7,,17.8,,99.5,,0.5,,0.0,
2015,2611606,Recife,33.8,36.0,4.5,6.3,34.0,35.7,85.1,86.5,13.5,11.6,1.4,1.9
2015,2611606,Recife,24.8,35.8,4.6,6.2,30.0,35.6,84.9,86.4,14.0,11.8,1.1,1.8
2015,2611606,Recife,22.1,34.9,4.5,6.0,21.2,28.6,89.6,88.6,9.7,9.8,0.7,1.6
2015,2611606,Recife,24.8,35.8,4.6,6.2,30.0,35.6,84.9,86.4,14.0,11.8,1.1,1.8
2015,2611606,Recife,19.0,32.7,4.4,5.5,8.0,7.9,96.6,95.0,3.2,4.4,0.2,0.6
2012,2611606,Recife,31.5,34.1,5.2,4.9,7.1,34.1,97.5,71.7,2.5,28.2,0.0,0.1
2012,2611606,Recife,31.5,34.1,5.2,4.9,7.1,34.1,97.5,71.7,2.5,28.2,0.0,0.1
2012,2611606,Recife,18.7,35.2,4.4,5.4,7.4,9.0,95.8,92.8,3.8,6.2,0.4,1.0
2012,2611606,Recife,18.7,35.2,4.4,5.4,7.4,9.0,95.8,92.8,3.8,6.2,0.4,1.0
2012,2611606,Recife,23.0,36.3,4.5,5.5,22.4,36.7,86.3,78.1,10.9,13.2,2.8,8.7
2012,2611606,Recife,23.0,36.3,4.5,5.5,22.4,36.7,86.3,78.1,10.9,13.2,2.8,8.7
2012,2611606,Recife,32.7,36.8,4.5,5.6,40.7,47.7,74.5,72.7,18.8,15.1,6.7,12.2
2012,2611606,Recife,32.7,36.8,4.5,5.6,40.7,47.7,74.5,72.7,18.8,15.1,6.7,12.2
2012,2611606,Recife,26.8,36.7,4.5,5.5,31.4,46.9,80.7,72.6,15.1,15.8,4.2,11.6
2012,2611606,Recife,26.8,36.7,4.5,5.5,31.4,46.9,80.7,72.6,15.1,15.8,4.2,11.6
2012,2611606,Recife,22.7,,4.6,,22.6,,86.5,,11.6,,1.9,
2012,2611606,Recife,22.7,,4.6,,22.6,,86.5,,11.6,,1.9,
2023,2611606,Recife,0.0,1.9,49.6,25.5,30.5,,99.7,5.1,5.9,34.4,41.5,41.6
2023,2611606,Recife,2.7,1.6,32.0,14.7,18.6,12.6,86.8,5.2,5.5,19.5,40.2,36.6
2023,2611606,Recife,0.0,1.9,49.6,25.5,30.5,,99.7,5.1,5.9,34.4,41.5,41.6
2023,2611606,Recife,3.2,1.5,32.2,18.0,21.5,12.6,99.4,5.4,5.9,18.9,45.2,41.4
2023,2611606,Recife,2.7,1.6,32.0,14.7,18.6,12.6,86.8,5.2,5.5,19.5,40.2,36.6
2023,2611606,Recife,3.2,0.7,19.7,17.9,21.5,,99.3,6.0,6.1,11.6,46.8,39.6
2023,2611606,Recife,3.2,0.7,19.7,17.9,21.5,,99.3,6.0,6.1,11.6,46.8,39.6
2016,2611606,Recife,34.0,36.6,4.5,6.3,33.3,32.7,90.4,90.7,8.9,8.1,0.7,1.2
2016,2611606,Recife,18.7,32.5,4.4,5.4,7.9,8.2,97.0,94.8,2.7,4.6,0.3,0.6
2016,2611606,Recife,22.1,34.9,4.5,6.1000000000000005,20.9,26.5,91.7,91.3,7.6,7.6,0.7,1.1
2016,2611606,Recife,18.7,32.5,4.4,5.4,7.9,8.2,97.0,94.8,2.7,4.6,0.3,0.6
2016,2611606,Recife,27.9,21.8,5.3,4.7,5.3,29.6,98.1,75.4,1.9,21.7,0.0,2.9
2016,2611606,Recife,21.5,,4.7,,27.9,,86.4,,12.4,,1.2,
2022,2611606,Recife,35.0,36.5,4.8,7.7,24.4,20.2,95.3,94.2,3.9,4.0,0.8,1.8
2022,2611606,Recife,18.0,30.4,4.5,5.7,7.8,6.5,98.7,97.3,1.1,2.2,0.2,0.5
2022,2611606,Recife,22.1,,4.8,,16.2,,94.7,,4.9,,0.4,
2022,2611606,Recife,22.1,,4.8,,16.2,,94.7,,4.9,,0.4,
2019,2611606,Recife,21.6,33.7,4.6,6.6,18.0,20.3,95.2,93.0,4.2,5.7,0.6,1.3
2019,2611606,Recife,30.5,15.4,5.3,4.9,10.0,34.0,97.7,66.2,2.0,26.1,0.3,7.7
2019,2611606,Recife,30.5,15.4,5.3,4.9,10.0,34.0,97.7,66.2,2.0,26.1,0.3,7.7
2024,2611606,Recife,,0.8,,,,12.0,100.0,5.3,5.3,33.3,38.5,38.5
2024,2611606,Recife,2.9,1.3,32.2,17.8,21.6,12.0,98.4,5.8,6.3,18.9,46.1,45.8
2024,2611606,Recife,2.9,1.3,32.2,17.8,21.6,12.0,98.4,5.8,6.3,18.9,46.1,45.8
2024,2611606,Recife,0.0,1.7,53.3,23.0,30.5,,100.0,5.5,5.9,33.5,46.5,46.8
2024,2611606,Recife,2.4,1.7,31.8,13.0,16.0,,77.9,4.9,4.8,20.0,35.4,30.8
2024,2611606,Recife,2.4,1.7,31.8,13.0,16.0,,77.9,4.9,4.8,20.0,35.4,30.8
2013,2611606,Recife,34.6,37.4,4.5,5.9,38.9,43.4,77.8,77.8,18.2,15.8,4.0,6.4
2013,2611606,Recife,26.5,37.1,4.5,5.8,30.5,43.2,82.9,77.6,14.3,16.3,2.8,6.1
2013,2611606,Recife,22.7,36.1,4.5,5.7,21.5,34.2,88.0,82.0,10.2,13.4,1.8,4.6
2013,2611606,Recife,18.5,33.6,4.4,5.5,7.6,8.5,95.9,93.9,3.8,5.3,0.3,0.8
2013,2611606,Recife,31.4,32.2,5.2,4.9,8.7,39.1,97.1,74.6,2.9,25.2,0.0,0.2
2013,2611606,Recife,21.9,,4.6,,23.0,,87.3,,11.1,,1.6,
2013,2611606,Recife,21.9,,4.6,,23.0,,87.3,,11.1,,1.6,
2006,2611606,Recife,,,,,50.0,,,,,,,
2006,2611606,Recife,,,,,4.5,,,,,,,
2006,2611606,Recife,,,,,50.0,,,,,,,
2006,2611606,Recife,,,,,25.5,,,,,,,
2006,2611606,Recife,,,,,10.5,9.3,,,,,,
2006,2611606,Recife,,,,,10.5,9.3,,,,,,
2006,2611606,Recife,,,,,7.9,13.5,,,,,,
2006,2611606,Recife,,,,,7.9,13.5,,,,,,
2006,2611606,Recife,,,,,27.4,44.4,,,,,,
2006,2611606,Recife,,,,,27.4,44.4,,,,,,
2006,2611606,Recife,,,,,32.9,58.0,,,,,,
2006,2611606,Recife,,,,,32.9,58.0,,,,,,
2006,2611606,Recife,,,,,42.1,71.8,,,,,,
2006,2611606,Recife,,,,,42.1,71.8,,,,,,
2006,2611606,Recife,,,,,56.4,73.4,,,,,,
2006,2611606,Recife,,,,,56.4,73.4,,,,,,
2013,2611606,Recife,34.6,37.4,4.5,5.9,38.9,43.4,77.8,77.8,18.2,15.8,4.0,6.4
2013,2611606,Recife,26.5,37.1,4.5,5.8,30.5,43.2,82.9,77.6,14.3,16.3,2.8,6.1
2013,2611606,Recife,22.7,36.1,4.5,5.7,21.5,34.2,88.0,82.0,10.2,13.4,1.8,4.6
